group,stratum,stratum_value,n_tasks,n_variants,psr_task,ci_low,ci_high,psr_variant,severity
goedel-prover-v2-32b,mentions_code_aux_identifier,False,17,24,0.6764705882352942,0.4411764705882353,0.8823529411764706,0.7083333333333334,E
goedel-prover-v2-32b,mentions_code_aux_identifier,False,23,31,0.2391304347826087,0.08695652173913043,0.41304347826086957,0.22580645161290322,S
goedel-prover-v2-32b,mentions_code_aux_identifier,True,2,2,0.5,0.0,1.0,0.5,S
goedel-prover-v2-8b,mentions_code_aux_identifier,False,27,27,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b,mentions_code_aux_identifier,True,2,2,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b,mentions_code_aux_identifier,False,19,26,0.7236842105263158,0.5263157894736842,0.8947368421052632,0.7692307692307693,E
goedel-prover-v2-8b,mentions_code_aux_identifier,False,26,36,0.25,0.09615384615384616,0.4230769230769231,0.2222222222222222,S
goedel-prover-v2-8b,mentions_code_aux_identifier,True,2,2,0.5,0.0,1.0,0.5,S
goedel-prover-v2-8b__avoid_unfold,mentions_code_aux_identifier,False,29,29,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__avoid_unfold,mentions_code_aux_identifier,True,3,3,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__avoid_unfold,mentions_code_aux_identifier,False,18,25,0.6111111111111112,0.3888888888888889,0.8333333333333334,0.72,E
goedel-prover-v2-8b__avoid_unfold,mentions_code_aux_identifier,False,28,37,0.25,0.10714285714285714,0.42857142857142855,0.24324324324324326,S
goedel-prover-v2-8b__avoid_unfold,mentions_code_aux_identifier,True,3,3,0.0,0.0,0.0,0.0,S
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,False,27,27,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,True,4,4,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,False,18,25,0.9444444444444444,0.8333333333333334,1.0,0.96,E
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,True,2,2,0.5,0.0,1.0,0.5,E
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,False,27,36,0.07407407407407407,0.0,0.16666666666666666,0.08333333333333333,S
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,True,4,5,0.375,0.0,0.75,0.4,S
goedel-prover-v2-8b__unfold,mentions_code_aux_identifier,True,1,1,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__unfold,mentions_code_aux_identifier,True,1,1,0.0,0.0,0.0,0.0,S
qwen3-14b,mentions_code_aux_identifier,False,5,5,1.0,1.0,1.0,1.0,D
qwen3-14b,mentions_code_aux_identifier,False,4,5,0.25,0.0,0.75,0.2,E
qwen3-14b,mentions_code_aux_identifier,False,5,6,0.0,0.0,0.0,0.0,S
qwen3-14b__neutral,mentions_code_aux_identifier,False,7,7,1.0,1.0,1.0,1.0,D
qwen3-14b__neutral,mentions_code_aux_identifier,True,1,1,1.0,1.0,1.0,1.0,D
qwen3-14b__neutral,mentions_code_aux_identifier,False,4,5,0.25,0.0,0.75,0.2,E
qwen3-14b__neutral,mentions_code_aux_identifier,False,7,8,0.14285714285714285,0.0,0.42857142857142855,0.125,S
qwen3-14b__neutral,mentions_code_aux_identifier,True,1,1,0.0,0.0,0.0,0.0,S
qwen3-32b,mentions_code_aux_identifier,False,5,5,1.0,1.0,1.0,1.0,D
qwen3-32b,mentions_code_aux_identifier,False,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333,E
qwen3-32b,mentions_code_aux_identifier,False,5,6,0.3,0.0,0.7,0.3333333333333333,S
reference,mentions_code_aux_identifier,False,43,43,1.0,1.0,1.0,1.0,D
reference,mentions_code_aux_identifier,True,3,3,1.0,1.0,1.0,1.0,D
reference,mentions_code_aux_identifier,False,19,26,0.41228070175438597,0.21052631578947367,0.6228070175438597,0.34615384615384615,E
reference,mentions_code_aux_identifier,True,1,1,1.0,1.0,1.0,1.0,E
reference,mentions_code_aux_identifier,False,43,53,0.046511627906976744,0.0,0.10465116279069768,0.05660377358490566,S
reference,mentions_code_aux_identifier,True,3,4,0.0,0.0,0.0,0.0,S
