model_id,rule,class,n_tasks,reference_psr,model_psr,delta,ci_low,ci_high,draw_p2_5,draw_p97_5
deepseek-prover-v2-7b,shortest_valid,structural,25,0.02,0.1,0.08,-0.02,0.22,,
deepseek-prover-v2-7b,random_valid,structural,25,0.02,0.21533333333333332,0.19548000000000001,0.07866666666666668,0.31333333333333335,0.08,0.3
deepseek-prover-v2-7b,all_valid_mean,structural,25,0.02,0.21533333333333332,0.1953333333333333,0.07866666666666668,0.31333333333333335,,
deepseek-prover-v2-7b,best_valid_oracle,structural,25,0.02,0.44,0.42,0.22,0.62,,
deepseek-prover-v2-7b,worst_valid_oracle,structural,25,0.02,0.0,-0.02,-0.06,0.0,,
deepseek-prover-v2-7b,first_valid,semantic,15,0.3555555555555555,0.7333333333333333,0.3777777777777778,0.15555555555555556,0.6222222222222222,,
deepseek-prover-v2-7b,shortest_valid,semantic,15,0.3555555555555555,0.7333333333333333,0.3777777777777778,0.06666666666666667,0.6666666666666666,,
deepseek-prover-v2-7b,random_valid,semantic,15,0.3555555555555555,0.7,0.34577777777777785,0.09111111111111111,0.6000277777777774,0.17777777777777778,0.4444444444444445
deepseek-prover-v2-7b,all_valid_mean,semantic,15,0.3555555555555555,0.7,0.34444444444444444,0.09111111111111111,0.6000277777777774,,
deepseek-prover-v2-7b,best_valid_oracle,semantic,15,0.3555555555555555,0.8666666666666667,0.5111111111111112,0.26666666666666666,0.7555555555555556,,
deepseek-prover-v2-7b,worst_valid_oracle,semantic,15,0.3555555555555555,0.4666666666666667,0.11111111111111113,-0.13333333333333333,0.3777777777777778,,
